Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
218;Montrezl Harrell;C;28;WAS;46;3;24.3;5.4;8.3;0.645;0.1;0.3;0.267;5.3;8;0.66;0.65;3.2;4.5;0.727;2.1;4.6;6.7;2.1;0.4;0.7;1.1;1.9;14.1
218;Montrezl Harrell;C;28;CHO;14;0;23.8;5.1;8;0.634;0;0.1;0;5.1;7.9;0.645;0.634;3.1;4.5;0.683;2.6;3.6;6.3;1.6;0.4;0.4;1;2.4;13.2
219;Gary Harris;SG;27;ORL;59;30;28.6;4;9.1;0.439;1.9;4.9;0.39;2.1;4.1;0.498;0.546;1.4;1.6;0.871;0.6;1.4;2;1.8;0.9;0.2;1;1.9;11.3
220;Joe Harris;SF;30;BRK;14;14;30.2;4;8.9;0.452;2.9;6.3;0.466;1.1;2.6;0.417;0.617;0.4;0.4;0.833;0.4;3.6;4;1;0.5;0.1;1.1;2.2;11.3
221;Tobias Harris;PF;29;PHI;59;59;35.4;7;14.5;0.48;1.3;3.6;0.36;5.7;10.9;0.519;0.525;2.7;3.2;0.849;1.1;5.9;7;3.4;0.6;0.6;1.6;2.1;17.9
222;Shaquille Harrison;SG;28;BRK;2;0;11.5;1;3;0.333;0;1;0;1;2;0.5;0.333;0;0;0;0.5;1.5;2;1.5;0.5;0.5;1;1.5;2
223;Josh Hart;SG-SF;26;TOT;52;51;33.1;5.1;10.3;0.496;1.3;3.8;0.335;3.8;6.5;0.592;0.559;3;3.9;0.756;1.2;6.1;7.3;4.1;1.1;0.3;2.1;2.8;14.5
223;Josh Hart;SG;26;NOP;41;40;33.5;4.8;9.4;0.505;1;3.2;0.323;3.7;6.2;0.598;0.56;2.8;3.8;0.753;1.3;6.5;7.8;4.1;1.1;0.3;2;2.9;13.4
223;Josh Hart;SF;26;POR;11;11;31.5;6.5;13.8;0.474;2.3;6.4;0.357;4.3;7.5;0.573;0.556;3.5;4.6;0.765;0.7;4.9;5.6;4.1;1.2;0.2;2.6;2.4;18.9
224;Isaiah Hartenstein;C;23;LAC;58;0;16.9;3.3;5.1;0.638;0.1;0.2;0.385;3.2;4.9;0.649;0.646;1.2;1.8;0.642;1.6;2.9;4.5;2;0.7;1.1;1.2;2.5;7.8
225;Udonis Haslem;C;41;MIA;9;0;6.3;1.2;2.4;0.5;0.1;0.2;0.5;1.1;2.2;0.5;0.523;0.3;0.3;1;0.4;1.6;2;0.3;0.1;0.1;0.3;1.2;2.9
226;Sam Hauser;SF;24;BOS;16;0;4.3;0.6;1.4;0.409;0.6;1.4;0.409;0;0;0;0.614;0;0;0;0.1;0.4;0.5;0.3;0.1;0.1;0.1;0.3;1.7
227;Jaxson Hayes;C;21;NOP;57;15;18.5;3.4;5.2;0.649;0.2;0.6;0.324;3.2;4.6;0.691;0.667;2;2.6;0.762;1.4;2.8;4.2;0.6;0.4;0.8;0.8;2.3;8.9
228;Killian Hayes;PG;20;DET;54;33;24.5;2.3;6.4;0.362;0.6;2.4;0.26;1.7;3.9;0.425;0.411;0.9;1.1;0.767;0.6;2.5;3.1;4.2;1.1;0.5;1.7;2.7;6.1
229;Gordon Hayward;SF;31;CHO;48;48;32.2;5.9;12.7;0.46;1.8;4.5;0.39;4.1;8.2;0.499;0.529;2.6;3.1;0.846;0.8;3.8;4.6;3.6;1;0.5;1.7;1.8;16.1
230;Aaron Henry;SF;22;PHI;6;0;2.8;0.2;0.8;0.2;0;0.2;0;0.2;0.7;0.25;0.2;0;0;0;0;0.2;0.2;0;0;0.3;0.3;0.3;0.3
231;Juancho Hernangómez;PF;26;TOT;28;1;6.8;0.4;1.4;0.25;0.2;1;0.185;0.2;0.5;0.385;0.313;0.5;0.8;0.619;0.5;1.2;1.7;0.3;0.2;0.2;0.4;0.3;1.4
231;Juancho Hernangómez;PF;26;BOS;18;0;5.3;0.3;1.5;0.185;0.2;1;0.167;0.1;0.5;0.222;0.241;0.3;0.5;0.667;0.5;0.9;1.4;0.2;0.2;0.1;0.3;0.4;1.1
231;Juancho Hernangómez;PF;26;SAS;5;0;10.2;0.4;1.2;0.333;0;0.6;0;0.4;0.6;0.667;0.333;0.6;0.8;0.75;0.8;2.2;3;0.6;0.2;0.2;0.4;0;1.4
231;Juancho Hernangómez;PF;26;UTA;5;1;8.4;0.6;1.4;0.429;0.4;1.2;0.333;0.2;0.2;1;0.571;0.8;1.6;0.5;0.2;1.2;1.4;0.4;0;0.4;0.4;0.4;2.4
232;Willy Hernangómez;C;27;NOP;40;6;16.1;3.4;6.3;0.546;0.1;0.3;0.4;3.3;6;0.552;0.554;1.9;2.6;0.74;2.6;3.9;6.6;1.2;0.4;0.4;1;1.8;8.9
233;Tyler Herro;SG;22;MIA;57;10;32.8;7.7;17.4;0.443;2.7;6.8;0.393;5;10.5;0.475;0.52;3;3.4;0.867;0.5;4.3;4.8;3.8;0.7;0.1;2.6;1.4;21
234;Buddy Hield;SG;29;TOT;69;20;30.5;5.4;13.3;0.403;3.2;8.9;0.363;2.2;4.5;0.481;0.523;1.4;1.6;0.875;0.8;3.6;4.3;2.6;0.9;0.3;1.8;2.2;15.4
234;Buddy Hield;SG;29;SAC;55;6;28.6;4.8;12.6;0.382;3.3;9;0.368;1.5;3.6;0.419;0.514;1.5;1.7;0.87;0.8;3.2;4;1.9;0.9;0.3;1.6;2.1;14.4
234;Buddy Hield;SG;29;IND;14;14;38.1;7.6;16.3;0.465;2.9;8.3;0.345;4.7;8;0.589;0.553;1.3;1.4;0.9;0.6;4.9;5.5;5.4;0.9;0.3;2.3;2.8;19.3
235;Haywood Highsmith;SF;25;MIA;13;0;8;0.7;2;0.346;0.5;1.3;0.412;0.2;0.7;0.222;0.481;0.2;0.3;0.5;0.5;0.8;1.3;0.1;0.1;0.2;0.2;0.7;2.1
236;George Hill;SG;35;MIL;43;16;25;2.4;5.6;0.435;0.9;2.8;0.325;1.5;2.8;0.546;0.517;1.1;1.2;0.923;0.8;2.3;3.2;2.4;0.8;0.1;0.8;1.3;6.9
237;Malcolm Hill;SF-SG;26;TOT;17;0;11.6;1.4;2.9;0.469;0.8;2;0.382;0.6;0.9;0.667;0.602;0.6;0.8;0.786;0.6;1.2;1.9;0.3;0.4;0.2;0.1;1.3;4.1
237;Malcolm Hill;SG;26;ATL;3;0;15.3;1.7;2.7;0.625;1;1.7;0.6;0.7;1;0.667;0.813;1.3;1.3;1;0.7;1.3;2;0.3;1.3;0.3;0;2.3;5.7
237;Malcolm Hill;SF;26;CHI;14;0;10.8;1.3;2.9;0.439;0.7;2.1;0.345;0.6;0.9;0.667;0.561;0.5;0.7;0.7;0.6;1.2;1.9;0.3;0.1;0.1;0.1;1.1;3.8
238;Solomon Hill;PF;30;ATL;13;1;10.7;0.2;1.5;0.15;0.2;1;0.154;0.1;0.5;0.143;0.2;0;0;0;0.5;1.3;1.8;0.9;0.3;0.2;0.1;1.2;0.6
239;Nate Hinton;SG;22;IND;2;0;1;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0
240;Jaylen Hoard;SF;22;OKC;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0
241;Aaron Holiday;PG;25;TOT;55;14;16.6;2.5;5.3;0.466;0.6;1.6;0.386;1.9;3.7;0.5;0.524;0.8;1;0.852;0.3;1.5;1.9;2.4;0.7;0.2;1;1.4;6.4
241;Aaron Holiday;PG;25;WAS;41;14;16.2;2.4;5.2;0.467;0.6;1.6;0.343;1.9;3.6;0.524;0.521;0.7;0.9;0.8;0.2;1.4;1.6;1.9;0.6;0.2;1;1.5;6.1
241;Aaron Holiday;PG;25;PHO;14;0;18;2.6;5.7;0.463;0.8;1.5;0.524;1.9;4.2;0.441;0.531;1.3;1.4;0.947;0.6;1.9;2.5;3.9;1;0;1.1;1.4;7.4
